Data,PIB
1990-02-01,36937.0
1990-03-01,37177.0
1990-04-01,33833.0
1990-05-01,38343.0
1990-06-01,39533.0
1990-07-01,40227.0
1990-08-01,42868.0
1990-09-01,42315.0
1990-10-01,42440.0
1990-11-01,41336.0
1990-12-01,36348.0
1991-01-01,30451.0
1991-02-01,29244.0
1991-03-01,29646.0
1991-04-01,32828.0
1991-05-01,34587.0
1991-06-01,35085.0
1991-07-01,36544.0
1991-08-01,37802.0
1991-09-01,35901.0
1991-10-01,36887.0
1991-11-01,35081.0
1991-12-01,31623.0
1992-01-01,29634.0
1992-02-01,30318.0
1992-03-01,30894.0
1992-04-01,31137.0
1992-05-01,32212.0
1992-06-01,32871.0
1992-07-01,33731.0
1992-08-01,33627.0
1992-09-01,33553.0
1992-10-01,33842.0
1992-11-01,33843.0
1992-12-01,31633.0
1993-01-01,32222.0
1993-02-01,31898.0
1993-03-01,35245.0
1993-04-01,35410.0
1993-05-01,36082.0
1993-06-01,36143.0
1993-07-01,37284.0
1993-08-01,37890.0
1993-09-01,37695.0
1993-10-01,37272.0
1993-11-01,37313.0
1993-12-01,35231.0
1994-01-01,40458.0
1994-02-01,39323.0
1994-03-01,43535.0
1994-04-01,42333.0
1994-05-01,44223.0
1994-06-01,44936.0
1994-07-01,45478.0
1994-08-01,48555.0
1994-09-01,48904.0
1994-10-01,49287.0
1994-11-01,49009.0
1994-12-01,47047.0
1995-01-01,60958.0
1995-02-01,59644.0
1995-03-01,65544.0
1995-04-01,63804.0
1995-05-01,63969.0
1995-06-01,64778.0
1995-07-01,65213.0
1995-08-01,66337.0
1995-09-01,66232.0
1995-10-01,65997.0
1995-11-01,66320.0
1995-12-01,61939.0
1996-01-01,64694.0
1996-02-01,65289.0
1996-03-01,69253.0
1996-04-01,68013.0
1996-05-01,70510.0
1996-06-01,69222.0
1996-07-01,74083.0
1996-08-01,75794.0
1996-09-01,74592.0
1996-10-01,75498.0
1996-11-01,73958.0
1996-12-01,70112.0
1997-01-01,69104.0
1997-02-01,67725.0
1997-03-01,71214.0
1997-04-01,71602.0
1997-05-01,73359.0
1997-06-01,73444.0
1997-07-01,75273.0
1997-08-01,76606.0
1997-09-01,77267.0
1997-10-01,80426.0
1997-11-01,76483.0
1997-12-01,70778.0
