Data,PETR3
2000-01-31,3.984375
2000-02-29,5.027342796325684
2000-03-31,5.15625
2000-04-30,4.6875
2000-05-31,4.746092796325684
2000-06-30,6.625
2000-07-31,5.800000190734863
2000-08-31,7.212500095367432
2000-09-30,6.900000095367432
2000-10-31,6.911250114440918
2000-11-30,6.37375020980835
2000-12-31,6.0625
2001-01-31,6.849999904632568
2001-02-28,7.18874979019165
2001-03-31,6.4375
2001-04-30,7.362500190734863
2001-05-31,8.375
2001-06-30,7.518750190734863
2001-07-31,7.31125020980835
2001-08-31,7.199999809265137
2001-09-30,6.612500190734863
2001-10-31,6.68625020980835
2001-11-30,6.375
2001-12-31,6.56125020980835
2002-01-31,6.25
2002-02-28,7.150000095367432
2002-03-31,7.662499904632568
2002-04-30,7.268750190734863
2002-05-31,7.295000076293945
2002-06-30,6.625
2002-07-31,5.5625
2002-08-31,6.037499904632568
2002-09-30,5.0
2002-10-31,5.987500190734863
2002-11-30,6.0
2002-12-31,6.599999904632568
2003-01-31,6.474999904632568
2003-02-28,5.976250171661377
2003-03-31,6.348750114440918
2003-04-30,6.775000095367432
2003-05-31,7.25
2003-06-30,6.949999809265137
2003-07-31,7.587500095367432
2003-08-31,8.212499618530273
2003-09-30,8.231249809265137
2003-10-31,8.399999618530273
2003-11-30,8.899999618530273
2003-12-31,10.512499809265137
2004-01-31,10.625
2004-02-29,11.287500381469727
2004-03-31,12.143750190734863
2004-04-30,10.5625
2004-05-31,10.061249732971191
2004-06-30,10.712499618530273
2004-07-31,10.712499618530273
2004-08-31,11.300000190734863
2004-09-30,12.962499618530273
2004-10-31,12.8125
2004-11-30,12.768750190734863
2004-12-31,13.3125
2005-01-31,13.1875
2005-02-28,15.875
2005-03-31,14.6875
2005-04-30,13.4375
2005-05-31,14.013750076293945
2005-06-30,15.163749694824219
2005-07-31,15.662500381469727
2005-08-31,18.587499618530273
2005-09-30,20.125
2005-10-31,17.825000762939453
2005-11-30,18.799999237060547
2005-12-31,20.649999618530273
2006-01-31,25.844999313354492
2006-02-28,24.450000762939453
2006-03-31,23.299999237060547
2006-04-30,25.5049991607666
2006-05-31,24.71500015258789
2006-06-30,24.200000762939453
2006-07-31,24.975000381469727
2006-08-31,23.760000228881836
2006-09-30,22.674999237060547
2006-10-31,23.700000762939453
2006-11-30,25.5
2006-12-31,27.2450008392334
2007-01-31,26.0
2007-02-28,23.924999237060547
2007-03-31,25.8700008392334
2007-04-30,25.600000381469727
2007-05-31,25.8799991607666
2007-06-30,29.389999389648438
2007-07-31,30.5049991607666
2007-08-31,30.5
2007-09-30,34.650001525878906
2007-10-31,41.38999938964844
2007-11-30,42.29999923706055
2007-12-31,52.5
2008-01-31,48.20000076293945
2008-02-29,48.849998474121094
2008-03-31,44.834999084472656
2008-04-30,50.599998474121094
2008-05-31,57.400001525878906
2008-06-30,56.45000076293945
2008-07-31,43.939998626708984
2008-08-31,42.65999984741211
2008-09-30,42.220001220703125
2008-10-31,28.610000610351562
2008-11-30,23.75
2008-12-31,27.489999771118164
2009-01-31,30.3700008392334
2009-02-28,32.70000076293945
2009-03-31,35.380001068115234
2009-04-30,36.84000015258789
2009-05-31,43.15999984741211
2009-06-30,40.09000015258789
2009-07-31,38.54999923706055
2009-08-31,37.529998779296875
2009-09-30,40.849998474121094
2009-10-31,40.5
2009-11-30,44.11000061035156
2009-12-31,41.560001373291016
2010-01-31,38.220001220703125
2010-02-28,38.70000076293945
2010-03-31,39.70000076293945
2010-04-30,36.95000076293945
2010-05-31,34.08000183105469
2010-06-30,31.0
2010-07-31,32.040000915527344
2010-08-31,29.59000015258789
2010-09-30,30.399999618530273
2010-10-31,28.549999237060547
2010-11-30,27.3700008392334
2010-12-31,30.549999237060547
2011-01-31,30.049999237060547
2011-02-28,32.599998474121094
2011-03-31,32.619998931884766
2011-04-30,28.889999389648438
2011-05-31,26.829999923706055
2011-06-30,26.25
2011-07-31,26.0
2011-08-31,22.950000762939453
2011-09-30,20.899999618530273
2011-10-31,23.079999923706055
2011-11-30,24.1200008392334
2011-12-31,23.0
2012-01-31,26.90999984741211
2012-02-29,25.700000762939453
2012-03-31,24.299999237060547
2012-04-30,22.389999389648438
2012-05-31,19.799999237060547
2012-06-30,18.899999618530273
2012-07-31,20.049999237060547
2012-08-31,21.299999237060547
2012-09-30,23.299999237060547
2012-10-31,21.5
2012-11-30,19.100000381469727
2012-12-31,19.549999237060547
2013-01-31,18.229999542236328
2013-02-28,14.489999771118164
2013-03-31,16.899999618530273
2013-04-30,19.190000534057617
2013-05-31,18.969999313354492
2013-06-30,14.800000190734863
2013-07-31,15.380000114440918
2013-08-31,16.049999237060547
2013-09-30,16.959999084472656
2013-10-31,19.540000915527344
2013-11-30,18.31999969482422
2013-12-31,15.989999771118164
2014-01-31,13.770000457763672
2014-02-28,12.989999771118164
2014-03-31,14.960000038146973
2014-04-30,15.680000305175781
2014-05-31,15.609999656677246
2014-06-30,16.239999771118164
2014-07-31,17.989999771118164
2014-08-31,22.079999923706055
2014-09-30,17.25
2014-10-31,14.649999618530273
2014-11-30,12.180000305175781
2014-12-31,9.59000015258789
2015-01-31,8.039999961853027
2015-02-28,9.479999542236328
2015-03-31,9.579999923706055
2015-04-30,14.25
2015-05-31,13.25
2015-06-30,14.029999732971191
2015-07-31,11.579999923706055
2015-08-31,10.619999885559082
2015-09-30,8.539999961853027
2015-10-31,9.380000114440918
2015-11-30,9.40999984741211
2015-12-31,8.569999694824219
2016-01-31,6.929999828338623
2016-02-29,7.349999904632568
2016-03-31,10.630000114440918
